ID;an;NO_SEQ_COLL;DT_ACCDN;heure_accdn;JR_SEMN_ACCDN;gravite;NB_DECES_PIETON;NB_BLESSES_PIETON;NB_VICTIMES_PIETON;NB_DECES_VELO;NB_BLESSES_VELO;NB_VICTIMES_VELO;CD_MUNCP;REG_ADM;MRC;NO_CIVIQ_ACCDN;SFX_NO_CIVIQ_ACCDN;RUE_ACCDN;VILLE;RUE_VILLE;TP_REPRR_ACCDN;ACCDN_PRES_DE;NO_ROUTE;CD_PNT_CDRNL_ROUTE;BORNE_KM_ACCDN;NB_METRE_DIST_ACCD;CD_PNT_CDRNL_REPRR;VITESSE_AUTOR;CD_GENRE_ACCDN;CD_SIT_PRTCE_ACCDN;CD_ETAT_SURFC;CD_ECLRM;CD_ENVRN_ACCDN;CD_CATEG_ROUTE;CD_ETAT_CHASS;CD_ASPCT_ROUTE;CD_LOCLN_ACCDN;CD_POSI_ACCDN;CD_CONFG_ROUTE;CD_COND_METEO;nb_bicyclette;nb_autres_types;nb_veh_non_precise;address;lat;lon
44114;2015;2015 _ 44115;42202;20:00:00-20:59:00;VE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;Charest Est;,Quebec,QC,Canada;Charest Est,Quebec,QC,Canada;1.0;DARVIS;;;;;;50.0;33.0;;11.0;2.0;3.0;13.0;1.0;11.0;;6.0;3.0;11.0;1;0;0;1 Charest Est;45.4709613;-73.6549225
44117;2015;2015 _ 44118;42203;04:00:00-04:59:00;SA;Grave;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;CH Sainte-Foy;,Quebec,QC,Canada;CH Sainte-Foy,Quebec,QC,Canada;1.0;DE BIENVILLE;;;;5.0;E;50.0;33.0;;12.0;3.0;2.0;13.0;1.0;11.0;32.0;6.0;3.0;14.0;1;0;0;1 CH Sainte-Foy;46.7842873;-71.2870989
44127;2015;2015 _ 44128;42203;17:00:00-17:59:00;SA;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;Route Jean-Gauvin;,Quebec,QC,Canada;Route Jean-Gauvin,Quebec,QC,Canada;1.0;AV JULES VERNE;;;;;O;50.0;33.0;;12.0;1.0;3.0;13.0;1.0;11.0;32.0;6.0;3.0;14.0;1;0;0;1 Route Jean-Gauvin;46.7648668;-71.3710561
44169;2015;2015 _ 44170;42208;08:00:00-08:59:00;JE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;PLATANES;,Quebec,QC,Canada;PLATANES,Quebec,QC,Canada;1.0;LOUTRES;;;;;;50.0;33.0;;11.0;1.0;2.0;14.0;1.0;12.0;32.0;6.0;2.0;12.0;1;0;0;1 PLATANES;35.1729495;24.5885192
44196;2015;2015 _ 44197;42210;20:00:00-20:59:00;SA;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;PIE XI N;,Quebec,QC,Canada;PIE XI N,Quebec,QC,Canada;1.0;ESTEREL;;;;;;50.0;33.0;;11.0;3.0;3.0;13.0;1.0;11.0;32.0;6.0;2.0;11.0;1;0;0;1 PIE XI N;0.0;0.0
44268;2015;2015 _ 44269;42216;15:00:00-15:59:00;VE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;PIERRE BERTRAND;,Quebec,QC,Canada;PIERRE BERTRAND,Quebec,QC,Canada;1.0;PIERRE BERTRAND ET WILFRID-HAMEL;;;;15.0;N;50.0;33.0;;11.0;1.0;3.0;13.0;1.0;11.0;34.0;6.0;3.0;11.0;1;0;0;;34.220389;70.3800314
44279;2015;2015 _ 44280;42218;10:00:00-10:59:00;DI;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;TURMEL;,Quebec,QC,Canada;TURMEL,Quebec,QC,Canada;1.0;ST VICTOR;;;;;;50.0;33.0;;11.0;1.0;2.0;14.0;1.0;11.0;32.0;5.0;2.0;12.0;1;0;0;1 TURMEL;48.6269964;-1.03122
44284;2015;2015 _ 44285;42218;21:00:00-21:59:00;DI;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;MGR GOSSELIN ET PONCELET;,Quebec,QC,Canada;MGR GOSSELIN ET PONCELET,Quebec,QC,Canada;;;;;;;;50.0;33.0;;11.0;3.0;2.0;14.0;1.0;11.0;32.0;6.0;2.0;11.0;1;0;0;1 MGR GOSSELIN ET PONCELET;0.0;0.0
44288;2015;2015 _ 44289;42219;10:00:00-10:59:00;LU;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;HENRI BOURASSA;,Quebec,QC,Canada;HENRI BOURASSA,Quebec,QC,Canada;1.0;HENRI BOURASSA ET DE NEMOURS;;;;;;50.0;33.0;;11.0;1.0;2.0;14.0;;11.0;;;3.0;11.0;1;0;0;;34.220389;70.3800314
44296;2015;2015 _ 44297;42219;20:00:00-20:59:00;LU;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;DURAND;,Quebec,QC,Canada;DURAND,Quebec,QC,Canada;1.0;ORMIERE;;;;20.0;E;50.0;33.0;;11.0;3.0;3.0;21.0;1.0;11.0;40.0;6.0;9.0;12.0;1;0;0;1 DURAND;43.1114298;2.0671191
